date,equity,tqqq_weight,core_value,tactical_cash,tqqq_value,in_campaign
1999-03-10,1.0,0.0,1.0,0.0,0.0,False
1999-03-11,1.0048962599010953,0.0,1.0048962599010953,0.0,0.0,False
1999-03-12,0.9804162002465532,0.0,0.9804162002465532,0.0,0.0,False
1999-03-15,1.0085679013220354,0.0,1.0085679013220354,0.0,0.0,False
1999-03-16,1.0171357140832897,0.0,1.0171357140832897,0.0,0.0,False
1999-03-17,1.0097921655590665,0.0,1.0097921655590665,0.0,0.0,False
1999-03-18,1.0293757881909513,0.0,1.0293757881909513,0.0,0.0,False
1999-03-19,1.0030594207416434,0.0,1.0030594207416434,0.0,0.0,False
1999-03-22,0.9908202322417922,0.0,0.9908202322417922,0.0,0.0,False
1999-03-23,0.9559361405920112,0.0,0.9559361405920112,0.0,0.0,False
1999-03-24,0.988371969450073,0.0,0.988371969450073,0.0,0.0,False
1999-03-25,1.024480059654542,0.0,1.024480059654542,0.0,0.0,False
1999-03-26,1.0134639841015687,0.0,1.0134639841015687,0.0,0.0,False
1999-03-29,1.050183586499086,0.0,1.050183586499086,0.0,0.0,False
1999-03-30,1.0428396837317389,0.0,1.0428396837317389,0.0,0.0,False
1999-03-31,1.027540188882434,0.0,1.027540188882434,0.0,0.0,False
1999-04-01,1.048959410822836,0.0,1.048959410822836,0.0,0.0,False
1999-04-05,1.0869035431397276,0.0,1.0869035431397276,0.0,0.0,False
1999-04-06,1.089045119946722,0.0,1.089045119946722,0.0,0.0,False
1999-04-07,1.0777232440168338,0.0,1.0777232440168338,0.0,0.0,False
1999-04-08,1.08629123389965,0.0,1.08629123389965,0.0,0.0,False
1999-04-09,1.093023270230825,0.0,1.093023270230825,0.0,0.0,False
1999-04-12,1.0856790132203533,0.0,1.0856790132203533,0.0,0.0,False
1999-04-13,1.0709910305640968,0.0,1.0709910305640968,0.0,0.0,False
1999-04-14,1.0342717824097034,0.0,1.0342717824097034,0.0,0.0,False
1999-04-15,1.0483474558258825,0.0,1.0483474558258825,0.0,0.0,False
1999-04-16,1.017747580519462,0.0,1.017747580519462,0.0,0.0,False
1999-04-19,0.9700120796905334,0.0,0.9700120796905334,0.0,0.0,False
1999-04-20,0.9920442307964801,0.0,0.9920442307964801,0.0,0.0,False
1999-04-21,1.0410039073016593,0.0,1.0410039073016593,0.0,0.0,False
1999-04-22,1.0691550770124552,0.0,1.0691550770124552,0.0,0.0,False
1999-04-23,1.0832316360364447,0.0,1.0832316360364447,0.0,0.0,False
1999-04-26,1.10817052909753,0.0,1.10817052909753,0.0,0.0,False
1999-04-27,1.0911873166791832,0.0,1.0911873166791832,0.0,0.0,False
1999-04-28,1.0538555821631501,0.0,1.0538555821631501,0.0,0.0,False
1999-04-29,1.0452871494764289,0.0,1.0452871494764289,0.0,0.0,False
1999-04-30,1.0520196286115087,0.0,1.0520196286115087,0.0,0.0,False
1999-05-03,1.0465115022742408,0.0,1.0465115022742408,0.0,0.0,False
1999-05-04,1.0299877431879048,0.0,1.0299877431879048,0.0,0.0,False
1999-05-05,1.0611997506128406,0.0,1.0611997506128406,0.0,0.0,False
1999-05-06,1.0226438404205573,0.0,1.0226438404205573,0.0,0.0,False
1999-05-07,1.037331557394471,0.0,1.037331557394471,0.0,0.0,False
1999-05-10,1.04773558938971,0.0,1.04773558938971,0.0,0.0,False
1999-05-11,1.0642595255976082,0.0,1.0642595255976082,0.0,0.0,False
1999-05-12,1.08629123389965,0.0,1.08629123389965,0.0,0.0,False
1999-05-13,1.0660952134669066,0.0,1.0660952134669066,0.0,0.0,False
1999-05-14,1.0458995472772874,0.0,1.0458995472772874,0.0,0.0,False
1999-05-17,1.0647184475649327,0.0,1.0647184475649327,0.0,0.0,False
1999-05-18,1.0599753978150284,0.0,1.0599753978150284,0.0,0.0,False
1999-05-19,1.074663380471285,0.0,1.074663380471285,0.0,0.0,False
1999-05-20,1.045134470689924,0.0,1.045134470689924,0.0,0.0,False
1999-05-21,1.0354959580859535,0.0,1.0354959580859535,0.0,0.0,False
1999-05-24,1.009180122001332,0.0,1.009180122001332,0.0,0.0,False
1999-05-25,0.9761319839031926,0.0,0.9761319839031926,0.0,0.0,False
1999-05-26,1.0033655753616821,0.0,1.0033655753616821,0.0,0.0,False
1999-05-27,1.002447731427033,0.0,1.002447731427033,0.0,0.0,False
1999-05-28,1.0189716676349312,0.0,1.0189716676349312,0.0,0.0,False
1999-06-01,0.9963281814574979,0.0,0.9963281814574979,0.0,0.0,False
1999-06-02,1.0131578294815298,0.0,1.0131578294815298,0.0,0.0,False
1999-06-03,0.9987761785668741,0.0,0.9987761785668741,0.0,0.0,False
1999-06-04,1.0293757881909513,0.0,1.0293757881909513,0.0,0.0,False
1999-06-07,1.0507953643744774,0.0,1.0507953643744774,0.0,0.0,False
1999-06-08,1.024480059654542,0.0,1.024480059654542,0.0,0.0,False
1999-06-09,1.0416156851770506,0.0,1.0416156851770506,0.0,0.0,False
1999-06-10,1.029681765689428,0.0,1.029681765689428,0.0,0.0,False
1999-06-11,1.0140762047808651,0.0,1.0140762047808651,0.0,0.0,False
1999-06-14,0.9949509727516189,0.0,0.9949509727516189,0.0,0.0,False
1999-06-15,1.0097921655590665,0.0,1.0097921655590665,0.0,0.0,False
1999-06-16,1.061658141215479,0.0,1.061658141215479,0.0,0.0,False
1999-06-17,1.073439293355816,0.0,1.073439293355816,0.0,0.0,False
1999-06-18,1.0783354646961303,0.0,1.0783354646961303,0.0,0.0,False
1999-06-21,1.1106181719637822,0.0,1.1106181719637822,0.0,0.0,False
1999-06-22,1.077111200459099,0.0,1.077111200459099,0.0,0.0,False
1999-06-23,1.0940944128774461,0.0,1.0940944128774461,0.0,0.0,False
1999-06-24,1.072368327830757,0.0,1.072368327830757,0.0,0.0,False
1999-06-25,1.0709910305640968,0.0,1.0709910305640968,0.0,0.0,False
1999-06-28,1.0963893769571933,0.0,1.0963893769571933,0.0,0.0,False
1999-06-29,1.1113828057472404,0.0,1.1113828057472404,0.0,0.0,False
1999-06-30,1.1285189626344352,0.0,1.1285189626344352,0.0,0.0,False
1999-07-01,1.1361688429002592,0.0,1.1361688429002592,0.0,0.0,False
1999-07-02,1.1505510251796012,0.0,1.1505510251796012,0.0,0.0,False
1999-07-06,1.1432067681691298,0.0,1.1432067681691298,0.0,0.0,False
1999-07-07,1.1450428102815524,0.0,1.1450428102815524,0.0,0.0,False
1999-07-08,1.1603421280092954,0.0,1.1603421280092954,0.0,0.0,False
1999-07-09,1.1719709556062516,0.0,1.1719709556062516,0.0,0.0,False
1999-07-12,1.1658503429073441,0.0,1.1658503429073441,0.0,0.0,False
1999-07-13,1.1603421280092954,0.0,1.1603421280092954,0.0,0.0,False
1999-07-14,1.180079315035495,0.0,1.180079315035495,0.0,0.0,False
1999-07-15,1.190942534680402,0.0,1.190942534680402,0.0,0.0,False
1999-07-16,1.2019582559902513,0.0,1.2019582559902513,0.0,0.0,False
1999-07-19,1.1897182704433706,0.0,1.1897182704433706,0.0,0.0,False
1999-07-20,1.1438189888484263,0.0,1.1438189888484263,0.0,0.0,False
1999-07-21,1.149326583821008,0.0,1.149326583821008,0.0,0.0,False
1999-07-22,1.120103917220467,0.0,1.120103917220467,0.0,0.0,False
1999-07-23,1.1217869263032605,0.0,1.1217869263032605,0.0,0.0,False
1999-07-26,1.0942471802247318,0.0,1.0942471802247318,0.0,0.0,False
1999-07-27,1.1162791542091168,0.0,1.1162791542091168,0.0,0.0,False
1999-07-28,1.1381575637991868,0.0,1.1381575637991868,0.0,0.0,False
1999-07-29,1.1138312456605217,0.0,1.1138312456605217,0.0,0.0,False
1999-07-30,1.1083232078840348,0.0,1.1083232078840348,0.0,0.0,False
1999-08-02,1.1052632557777053,0.0,1.1052632557777053,0.0,0.0,False
1999-08-03,1.0980721203576438,0.0,1.0980721203576438,0.0,0.0,False
1999-08-04,1.0781824316665014,0.0,1.0781824316665014,0.0,0.0,False
1999-08-05,1.095317880067448,0.0,1.095317880067448,0.0,0.0,False
1999-08-06,1.0835373478525783,0.0,1.0835373478525783,0.0,0.0,False
1999-08-09,1.069613910418999,0.0,1.069613910418999,0.0,0.0,False
1999-08-10,1.0599753978150284,0.0,1.0599753978150284,0.0,0.0,False
1999-08-11,1.0948592237824664,0.0,1.0948592237824664,0.0,0.0,False
1999-08-12,1.0820072832386323,0.0,1.0820072832386323,0.0,0.0,False
1999-08-13,1.129131271874513,0.0,1.129131271874513,0.0,0.0,False
1999-08-16,1.1381575637991868,0.0,1.1381575637991868,0.0,0.0,False
