date,reason,target_weight,price,notional,fee,cash_after,shares_after,avg_cost_after
1999-03-24,dip_-6%_to_15%,0.15,29.746692,0.15026348184141,7.513174092070501e-05,0.8514179320270693,0.005051435024822592,29.761565345999998
1999-07-16,TP_50,0.0,46.589336,-0.2353430036536281,0.00011767150182681405,1.0986126447814946,0.0,
2001-05-04,RED_recovery_fast,0.15,3.56203,0.18142871440178202,9.0714357200891e-05,1.0280053339195638,0.05093407815256525,3.563811015
2001-05-07,RED_cut,0.0,3.33906,-0.17007194299610454,8.503597149805227e-05,1.1981407306077938,0.0,
2001-05-08,RED_recovery_fast,0.15,3.550101,0.17974692667038147,8.987346333519074e-05,1.0184760443354932,0.050631496588514374,3.5518760505
2001-05-09,RED_cut,0.0,3.184243,-0.16122298859150078,8.061149429575039e-05,1.179763513849831,0.0,
2001-05-10,RED_recovery_fast,0.15,3.023045,0.1769900183970597,8.849500919852985e-05,1.0028549425741398,0.05854693476182448,3.0245565225
2001-05-11,RED_cut,0.0,2.978359,-0.1743737900702928,8.71868950351464e-05,1.1772856066532607,0.0,
2001-05-14,RED_recovery_fast,0.15,2.834101,0.17661862915936452,8.830931457968226e-05,1.0007505892551527,0.06231910195132937,2.8355180504999997
2001-05-15,RED_cut,0.0,2.895707,-0.1804578597541781,9.022892987708906e-05,1.1812615815684309,0.0,
2001-05-16,RED_recovery_fast,0.15,3.279518,0.1772141281040366,8.86070640520183e-05,1.0041247855254887,0.05403663834259687,3.281157759
2001-05-17,RED_cut,0.0,3.434886,-0.18560969253004922,9.280484626502461e-05,1.1897803380613674,0.0,
2001-05-18,RED_recovery_fast,0.15,3.463808,0.17849169615920002,8.924584807960001e-05,1.0113636990540538,0.05153048210501275,3.4655399040000003
2001-05-21,RED_cut,0.0,4.113682,-0.21198001668671307,0.00010599000834335653,1.2233785942472661,0.0,
2001-05-22,RED_recovery_mid,0.15,4.075967,0.18353256747147664,9.176628373573833e-05,1.039926116054632,0.04502798169648494,4.0780049835000005
2001-05-23,RED_cut,0.0,3.534011,-0.15912938262317644,7.956469131158823e-05,1.199122844181483,0.0,
2001-05-24,RED_recovery_fast,0.15,3.805159,0.1798938366108931,8.994691830544655e-05,1.0193084605434222,0.04727629952148992,3.8070615795000005
2001-05-25,RED_cut,0.0,3.59564,-0.16998855361145002,8.499427680572501e-05,1.1893576353685722,0.0,
2001-05-29,RED_recovery_fast,0.15,2.962429,0.17842891915456477,8.921445957728239e-05,1.0110079940829566,0.06023061452428556,2.9639102145000003
2001-05-30,RED_cut,0.0,2.635719,-0.1587509750833354,7.93754875416677e-05,1.1698240233883646,0.0,
2001-05-31,RED_recovery_fast,0.15,2.688187,0.1754986015329187,8.774930076645936e-05,0.9944043260524396,0.06528511652385742,2.6895310935000003
2001-06-01,RED_cut,0.0,2.92523,-0.19097398140908345,9.548699070454173e-05,1.18542251060083,0.0,
2001-06-04,RED_recovery_fast,0.15,2.882268,0.17783835513561444,8.891917756780723e-05,1.0076617599242472,0.06170083945546162,2.883709134
2001-06-05,RED_cut,0.0,3.262376,-0.20129133781935107,0.00010064566890967554,1.208996003885468,0.0,
2001-06-06,RED_recovery_fast,0.15,3.185559,0.18137480389150545,9.068740194575273e-05,1.0276998679832519,0.056936570282171965,3.1871517795
2001-06-07,RED_cut,0.0,3.430009,-0.1952929484969824,9.764647424849119e-05,1.2230391295498184,0.0,
2001-06-08,RED_recovery_fast,0.15,3.143561,0.1834814950140959,9.174074750704796e-05,1.0396367309990366,0.05836740404086191,3.1451327805
2001-06-11,RED_cut,0.0,2.883544,-0.1683049777176031,8.415248885880156e-05,1.208003187879792,0.0,
2001-06-12,RED_recovery_fast,0.15,2.835587,0.18122571681993274,9.061285840996638e-05,1.0268551157878756,0.06391118199509757,2.8370047935000002
2001-06-13,RED_cut,0.0,2.602438,-0.16632488864895772,8.316244432447886e-05,1.1932382383131899,0.0,
2001-06-14,RED_recovery_fast,0.15,2.198478,0.1790103107728718,8.95051553864359e-05,1.0143022558908872,0.08142465413475676,2.1995772390000004
2001-06-15,RED_cut,0.0,2.252364,-0.1833979596855773,9.169897984278864e-05,1.1977469769068718,0.0,
2001-07-05,RED_recovery_mid,0.15,2.34637,0.1799820649809181,8.999103249045905e-05,1.019808377192712,0.07670659997396749,2.347543185
2001-07-06,RED_cut,0.0,2.053945,-0.15755113748353067,7.877556874176533e-05,1.177424807272757,0.0,
2001-08-03,RED_recovery_mid,0.15,2.193602,0.17710215183189174,8.855107591594587e-05,1.003490309304804,0.08073577241080732,2.1946988009999995
