date,reason,total_before,target_or_cap,fee
2000-08-28,REVERSAL_ENTRY,1.0788171226422656,0.35,3.7758599292479296e-05
2000-09-13,BULL_EXIT,1.0689455240681436,0.0,3.151753889216569e-05
2001-12-24,REVERSAL_ENTRY,1.1248946340496861,0.35,3.937131219173902e-05
2002-02-05,BULL_EXIT,1.1075365375180624,0.0,2.974675872163414e-05
2002-11-15,REVERSAL_ENTRY,1.1219780775080896,0.35,3.926923271278314e-05
2002-12-12,BULL_FULL,1.115318115086366,1.0,7.293480638307669e-05
2008-02-13,BULL_EXIT,1.5159418854141637,0.0,0.0002367640679111155
2009-04-01,REVERSAL_ENTRY,1.5323499225590778,0.35,5.363224728956772e-05
2009-04-22,BULL_FULL,1.5527728281571198,1.0,9.953532887695888e-05
2018-12-21,BULL_EXIT,14.640798631908577,0.0,0.006685443712254957
2020-05-11,REVERSAL_ENTRY,14.985316792639248,0.35,0.0005244860877423737
2020-05-12,BULL_FULL,14.922445706934516,1.0,0.0009733007555304069
2022-03-08,BULL_EXIT,18.86153036528483,0.0,0.0034283373018281797
2023-02-03,REVERSAL_ENTRY,19.305060588651216,0.35,0.0006756771206027926
2023-02-28,BULL_FULL,19.177804616537838,1.0,0.0012575608517259016
