strategy,trend_ma,slope_lb,yellow_buy_cap,red_dd,red_target,rec_fast_ma,CAGR,MDD,Calmar,Final,MaxUnderwaterDays,DotCom_Return,DotCom_MDD,GFC_Return,GFC_MDD,COVID_Return,COVID_MDD,2022_Bear_Return,2022_Bear_MDD,Actual_TQQQ_Era_Return,Actual_TQQQ_Era_MDD,ActualEra_CAGR,ActualEra_MDD,InvestedDayPct,AvgWeight,TradeCount
V3_M150_S20_YBC50_RD30_RT25_RF40,150,20,0.5,-0.3,0.25,40,0.009758191824146945,-0.6142345671412058,0.015886751326230134,1.302769700251567,7873,-0.5196781475307042,-0.6142345671412058,0.34858961704968694,-0.14585402734596986,0.001836885240850794,0.0,-0.05076204933967221,-0.320114294021252,0.27393180359307046,-0.320114294021252,0.014955133832620593,-0.320114294021252,0.14711033274956217,0.04119707989733954,205
V3_M150_S20_YBC50_RD30_RT25_RF60,150,20,0.5,-0.3,0.25,60,0.019371819390057166,-0.5012732699298676,0.03864522716874061,1.6863711054756398,2981,-0.40131407419225684,-0.5012732699298676,0.37683090693689225,-0.1447132102411245,0.0018368852408516823,0.0,-0.04581745502453827,-0.3168348176025999,0.2958782033345613,-0.3168348176025999,0.016018617453145367,-0.3168348176025999,0.1361646234676007,0.0380762054355987,171
V3_M150_S20_YBC60_RD20_RT0_RF40,150,20,0.6,-0.2,0.0,40,0.022249460341742244,-0.43296805178358233,0.05138822656795833,1.8209504746967824,6438,-0.3578546681193695,-0.4124947574188621,-0.15293495829162196,-0.36534208184737604,0.0018368852408512382,0.0,-0.06519225542571516,-0.16260444086279435,1.2208459124258777,-0.16260444086279435,0.05013743439764906,-0.16260444086279435,0.12054874489200233,0.04679538725348263,217
V3_M150_S20_YBC60_RD20_RT0_RF60,150,20,0.6,-0.2,0.0,60,0.020991630669751293,-0.4533172255592921,0.046306713017252574,1.7608990401881564,6564,-0.3274742539153004,-0.39877663403301455,-0.20237043154932166,-0.37430079742118183,0.0018368852408514602,0.0,-0.07072942291301554,-0.14747705322910176,1.1776830874924036,-0.14747705322910176,0.048874488049375,-0.14747705322910176,0.11485697606538237,0.04467404285467491,178
V3_M150_S20_YBC60_RD20_RT15_RF40,150,20,0.6,-0.2,0.15,40,0.013081055575920209,-0.6187216424170425,0.021142068870936743,1.4247190068475521,6987,-0.5196313895884459,-0.5442922568564945,-0.016975428722550978,-0.4786417048054795,0.0018368852408519043,0.0,-0.18932328448207403,-0.30370533577904435,0.8877177052879546,-0.30370533577904435,0.03972520610045871,-0.30370533577904435,0.24810274372446,0.06239097788514812,242
V3_M150_S20_YBC60_RD20_RT15_RF60,150,20,0.6,-0.2,0.15,60,0.014095357295832,-0.5660033622451197,0.024903310185157006,1.4640850095727391,6829,-0.46873771398679753,-0.49601132936451164,0.011752341712205183,-0.45195320143606454,0.0018368852408521263,0.0,-0.2558424227862577,-0.32042565650606025,0.7042367033573707,-0.32042565650606025,0.03322720078370245,-0.32042565650606025,0.2409515469935785,0.059671812606304726,208
V3_M150_S20_YBC60_RD20_RT25_RF40,150,20,0.6,-0.2,0.25,40,0.003147770589936316,-0.712101492669807,0.004420396000203162,1.0893707385074247,9383,-0.6006112504579562,-0.665941569338881,-0.11787333016923396,-0.5273817459057232,0.0018368852408514602,0.0,-0.19782652994760752,-0.3497770155864658,0.9585723264345976,-0.3497770155864658,0.04207683200674506,-0.3497770155864658,0.2450379451255108,0.07217338437555143,258
V3_M150_S20_YBC60_RD20_RT25_RF60,150,20,0.6,-0.2,0.25,60,0.006711178501719095,-0.6680178523569662,0.010046405912716338,1.199829795166902,7388,-0.5301662837462776,-0.5797388306150506,-0.135315016255674,-0.5200956569912006,0.0018368852408521263,0.0,-0.22325127609358286,-0.3333843964988593,0.8707176073798923,-0.3333843964988593,0.03914866650229398,-0.3333843964988593,0.24168126094570927,0.06807282875199679,219
V3_M150_S20_YBC60_RD25_RT0_RF40,150,20,0.6,-0.25,0.0,40,0.0028391283712367876,-0.4568146263509183,0.006215055752299426,1.0802785442069212,9379,-0.42721083545660543,-0.4568146263509183,0.06454085082142824,-0.05743453530099207,0.0018368852408512382,0.0,-0.08141806897774928,-0.2166694203459979,0.1753007315623334,-0.2166694203459979,0.00995275293411857,-0.2166694203459979,0.057063631056625805,0.018465357099975377,185
V3_M150_S20_YBC60_RD25_RT0_RF60,150,20,0.6,-0.25,0.0,60,0.004418814067016497,-0.4311160876840985,0.01024970812560907,1.1275969532140386,9379,-0.40011171753657193,-0.4311160876840985,0.04898423201723068,-0.06796001114632377,0.0018368852408519043,0.0,-0.07091846645122901,-0.18435812741673963,0.1887346889631789,-0.18435812741673963,0.010656782259599762,-0.18435812741673963,0.053415061295971976,0.01717711626880133,150
V3_M150_S20_YBC60_RD25_RT15_RF40,150,20,0.6,-0.25,0.15,40,0.005303453276959802,-0.5957710008669215,0.0089018318602997,1.1549613392335858,9379,-0.5653250179166611,-0.5957710008669215,0.4046119806693045,-0.1316855379434172,0.0018368852408519043,0.0,-0.056226112975224285,-0.23082792157814536,0.18356812063608263,-0.23082792157814536,0.010386907575659965,-0.23082792157814536,0.1618505545826036,0.03159277999923133,208
V3_M150_S20_YBC60_RD25_RT15_RF60,150,20,0.6,-0.25,0.15,60,0.009380777038406896,-0.5553917278886349,0.0168903794697639,1.2895720783695321,7020,-0.5219044325652458,-0.5553917278886349,0.4808233687747159,-0.11124887812145956,0.0018368852408516823,0.0,-0.09124014861099983,-0.24963570611566333,0.1396578069273693,-0.24963570611566333,0.008047558765956087,-0.24963570611566333,0.159369527145359,0.02990172053047175,174
V3_M150_S20_YBC60_RD25_RT25_RF40,150,20,0.6,-0.25,0.25,40,-0.0008675430978917209,-0.6982799020249849,-0.001242400211399296,0.9766379530595833,9379,-0.6320179824065284,-0.6982799020249849,0.34858961704968716,-0.14585402734596953,0.00183688524085035,0.0,-0.05491124198825825,-0.2806265998432059,0.24657346264661406,-0.2806265998432059,0.013605049975770278,-0.2806265998432059,0.1587857559836544,0.03990123555414205,219
V3_M150_S20_YBC60_RD25_RT25_RF60,150,20,0.6,-0.25,0.25,60,0.005596717598119527,-0.6228527903548755,0.008985618567961703,1.1641731890565572,9379,-0.5698848109287776,-0.6228527903548755,0.37683090693689136,-0.1447132102411245,0.0018368852408512382,0.0,-0.05123775893374127,-0.27335337496308276,0.24521084711109697,-0.27335337496308276,0.013537082547227186,-0.27335337496308276,0.1582019848219498,0.03699750857889063,183
V3_M150_S20_YBC60_RD30_RT0_RF40,150,20,0.6,-0.3,0.0,40,0.005854133427002806,-0.4429503592550844,0.013216229098104312,1.1723172787967533,8945,-0.3777186088000508,-0.4429503592550844,0.06454085082142713,-0.057434535300992184,0.0018368852408536807,0.0,-0.05342845505501981,-0.29726236551117535,0.17399541809804275,-0.29726236551117535,0.009883943646710858,-0.29726236551117535,0.06260945709281962,0.023218674777114104,167
V3_M150_S20_YBC60_RD30_RT0_RF60,150,20,0.6,-0.3,0.0,60,0.008718835122346613,-0.4299433677426209,0.02027903155739807,1.2667353806773742,8945,-0.3482779736703474,-0.4299433677426209,0.048984232017231566,-0.06796001114632366,0.0018368852408519043,0.0,-0.04840427479005893,-0.29431882260589115,0.22920671240593382,-0.29431882260589115,0.012733526092303604,-0.29431882260589115,0.060274372446001166,0.02251743275398303,133
V3_M150_S20_YBC60_RD30_RT15_RF40,150,20,0.6,-0.3,0.15,40,0.013506824382251148,-0.5223475036498857,0.02585792846308763,1.4411177127809969,6562,-0.4731027034715093,-0.5223475036498857,0.4046119806693067,-0.13168553794341664,0.0018368852408510161,0.0,-0.052827920450919774,-0.3088655806029229,0.2183272067828459,-0.3088655806029229,0.0121816471379248,-0.3088655806029229,0.15017513134851138,0.03504846858434053,189
V3_M150_S20_YBC60_RD30_RT15_RF60,150,20,0.6,-0.3,0.15,60,0.020636941658138452,-0.4738150620641106,0.04355484515041889,1.744313235152056,2929,-0.39874534002525963,-0.4738150620641106,0.48082336877471943,-0.11124887812145945,0.0018368852408516823,0.0,-0.04786113020997396,-0.3027055613739501,0.22577168918993595,-0.3027055613739501,0.012559776451054327,-0.3027055613739501,0.13937536485697608,0.033274119612872424,157
V3_M150_S20_YBC60_RD30_RT25_RF40,150,20,0.6,-0.3,0.25,40,0.009758191824146945,-0.6142345671412058,0.015886751326230134,1.302769700251567,7873,-0.5196781475307042,-0.6142345671412058,0.34858961704968694,-0.14585402734596986,0.001836885240850794,0.0,-0.05076204933967221,-0.320114294021252,0.27393180359307046,-0.320114294021252,0.014955133832620593,-0.320114294021252,0.14711033274956217,0.04119707989733954,205
V3_M150_S20_YBC60_RD30_RT25_RF60,150,20,0.6,-0.3,0.25,60,0.019371819390057166,-0.5012732699298676,0.03864522716874061,1.6863711054756398,2981,-0.40131407419225684,-0.5012732699298676,0.37683090693689225,-0.1447132102411245,0.0018368852408516823,0.0,-0.04581745502453827,-0.3168348176025999,0.2958782033345613,-0.3168348176025999,0.016018617453145367,-0.3168348176025999,0.1361646234676007,0.0380762054355987,171
V3_M150_S20_YBC70_RD20_RT0_RF40,150,20,0.7,-0.2,0.0,40,0.022249460341742244,-0.43296805178358233,0.05138822656795833,1.8209504746967824,6438,-0.3578546681193695,-0.4124947574188621,-0.15293495829162196,-0.36534208184737604,0.0018368852408512382,0.0,-0.06519225542571516,-0.16260444086279435,1.2208459124258777,-0.16260444086279435,0.05013743439764906,-0.16260444086279435,0.12054874489200233,0.04679538725348263,217
V3_M150_S20_YBC70_RD20_RT0_RF60,150,20,0.7,-0.2,0.0,60,0.020991630669751293,-0.4533172255592921,0.046306713017252574,1.7608990401881564,6564,-0.3274742539153004,-0.39877663403301455,-0.20237043154932166,-0.37430079742118183,0.0018368852408514602,0.0,-0.07072942291301554,-0.14747705322910176,1.1776830874924036,-0.14747705322910176,0.048874488049375,-0.14747705322910176,0.11485697606538237,0.04467404285467491,178
V3_M150_S20_YBC70_RD20_RT15_RF40,150,20,0.7,-0.2,0.15,40,0.013081055575920209,-0.6187216424170425,0.021142068870936743,1.4247190068475521,6987,-0.5196313895884459,-0.5442922568564945,-0.016975428722550978,-0.4786417048054795,0.0018368852408519043,0.0,-0.18932328448207403,-0.30370533577904435,0.8877177052879546,-0.30370533577904435,0.03972520610045871,-0.30370533577904435,0.24810274372446,0.06239097788514812,242
V3_M150_S20_YBC70_RD20_RT15_RF60,150,20,0.7,-0.2,0.15,60,0.014095357295832,-0.5660033622451197,0.024903310185157006,1.4640850095727391,6829,-0.46873771398679753,-0.49601132936451164,0.011752341712205183,-0.45195320143606454,0.0018368852408521263,0.0,-0.2558424227862577,-0.32042565650606025,0.7042367033573707,-0.32042565650606025,0.03322720078370245,-0.32042565650606025,0.2409515469935785,0.059671812606304726,208
V3_M150_S20_YBC70_RD20_RT25_RF40,150,20,0.7,-0.2,0.25,40,0.003147770589936316,-0.712101492669807,0.004420396000203162,1.0893707385074247,9383,-0.6006112504579562,-0.665941569338881,-0.11787333016923396,-0.5273817459057232,0.0018368852408514602,0.0,-0.19782652994760752,-0.3497770155864658,0.9585723264345976,-0.3497770155864658,0.04207683200674506,-0.3497770155864658,0.2450379451255108,0.07217338437555143,258
V3_M150_S20_YBC70_RD20_RT25_RF60,150,20,0.7,-0.2,0.25,60,0.006711178501719095,-0.6680178523569662,0.010046405912716338,1.199829795166902,7388,-0.5301662837462776,-0.5797388306150506,-0.135315016255674,-0.5200956569912006,0.0018368852408521263,0.0,-0.22325127609358286,-0.3333843964988593,0.8707176073798923,-0.3333843964988593,0.03914866650229398,-0.3333843964988593,0.24168126094570927,0.06807282875199679,219
V3_M150_S20_YBC70_RD25_RT0_RF40,150,20,0.7,-0.25,0.0,40,0.0028391283712367876,-0.4568146263509183,0.006215055752299426,1.0802785442069212,9379,-0.42721083545660543,-0.4568146263509183,0.06454085082142824,-0.05743453530099207,0.0018368852408512382,0.0,-0.08141806897774928,-0.2166694203459979,0.1753007315623334,-0.2166694203459979,0.00995275293411857,-0.2166694203459979,0.057063631056625805,0.018465357099975377,185
V3_M150_S20_YBC70_RD25_RT0_RF60,150,20,0.7,-0.25,0.0,60,0.004418814067016497,-0.4311160876840985,0.01024970812560907,1.1275969532140386,9379,-0.40011171753657193,-0.4311160876840985,0.04898423201723068,-0.06796001114632377,0.0018368852408519043,0.0,-0.07091846645122901,-0.18435812741673963,0.1887346889631789,-0.18435812741673963,0.010656782259599762,-0.18435812741673963,0.053415061295971976,0.01717711626880133,150
V3_M150_S20_YBC70_RD25_RT15_RF40,150,20,0.7,-0.25,0.15,40,0.005303453276959802,-0.5957710008669215,0.0089018318602997,1.1549613392335858,9379,-0.5653250179166611,-0.5957710008669215,0.4046119806693045,-0.1316855379434172,0.0018368852408519043,0.0,-0.056226112975224285,-0.23082792157814536,0.18356812063608263,-0.23082792157814536,0.010386907575659965,-0.23082792157814536,0.1618505545826036,0.03159277999923133,208
V3_M150_S20_YBC70_RD25_RT15_RF60,150,20,0.7,-0.25,0.15,60,0.009380777038406896,-0.5553917278886349,0.0168903794697639,1.2895720783695321,7020,-0.5219044325652458,-0.5553917278886349,0.4808233687747159,-0.11124887812145956,0.0018368852408516823,0.0,-0.09124014861099983,-0.24963570611566333,0.1396578069273693,-0.24963570611566333,0.008047558765956087,-0.24963570611566333,0.159369527145359,0.02990172053047175,174
V3_M150_S20_YBC70_RD25_RT25_RF40,150,20,0.7,-0.25,0.25,40,-0.0008675430978917209,-0.6982799020249849,-0.001242400211399296,0.9766379530595833,9379,-0.6320179824065284,-0.6982799020249849,0.34858961704968716,-0.14585402734596953,0.00183688524085035,0.0,-0.05491124198825825,-0.2806265998432059,0.24657346264661406,-0.2806265998432059,0.013605049975770278,-0.2806265998432059,0.1587857559836544,0.03990123555414205,219
V3_M150_S20_YBC70_RD25_RT25_RF60,150,20,0.7,-0.25,0.25,60,0.005596717598119527,-0.6228527903548755,0.008985618567961703,1.1641731890565572,9379,-0.5698848109287776,-0.6228527903548755,0.37683090693689136,-0.1447132102411245,0.0018368852408512382,0.0,-0.05123775893374127,-0.27335337496308276,0.24521084711109697,-0.27335337496308276,0.013537082547227186,-0.27335337496308276,0.1582019848219498,0.03699750857889063,183
V3_M150_S20_YBC70_RD30_RT0_RF40,150,20,0.7,-0.3,0.0,40,0.005854133427002806,-0.4429503592550844,0.013216229098104312,1.1723172787967533,8945,-0.3777186088000508,-0.4429503592550844,0.06454085082142713,-0.057434535300992184,0.0018368852408536807,0.0,-0.05342845505501981,-0.29726236551117535,0.17399541809804275,-0.29726236551117535,0.009883943646710858,-0.29726236551117535,0.06260945709281962,0.023218674777114104,167
V3_M150_S20_YBC70_RD30_RT0_RF60,150,20,0.7,-0.3,0.0,60,0.008718835122346613,-0.4299433677426209,0.02027903155739807,1.2667353806773742,8945,-0.3482779736703474,-0.4299433677426209,0.048984232017231566,-0.06796001114632366,0.0018368852408519043,0.0,-0.04840427479005893,-0.29431882260589115,0.22920671240593382,-0.29431882260589115,0.012733526092303604,-0.29431882260589115,0.060274372446001166,0.02251743275398303,133
V3_M150_S20_YBC70_RD30_RT15_RF40,150,20,0.7,-0.3,0.15,40,0.013506824382251148,-0.5223475036498857,0.02585792846308763,1.4411177127809969,6562,-0.4731027034715093,-0.5223475036498857,0.4046119806693067,-0.13168553794341664,0.0018368852408510161,0.0,-0.052827920450919774,-0.3088655806029229,0.2183272067828459,-0.3088655806029229,0.0121816471379248,-0.3088655806029229,0.15017513134851138,0.03504846858434053,189
V3_M150_S20_YBC70_RD30_RT15_RF60,150,20,0.7,-0.3,0.15,60,0.020636941658138452,-0.4738150620641106,0.04355484515041889,1.744313235152056,2929,-0.39874534002525963,-0.4738150620641106,0.48082336877471943,-0.11124887812145945,0.0018368852408516823,0.0,-0.04786113020997396,-0.3027055613739501,0.22577168918993595,-0.3027055613739501,0.012559776451054327,-0.3027055613739501,0.13937536485697608,0.033274119612872424,157
V3_M150_S20_YBC70_RD30_RT25_RF40,150,20,0.7,-0.3,0.25,40,0.009758191824146945,-0.6142345671412058,0.015886751326230134,1.302769700251567,7873,-0.5196781475307042,-0.6142345671412058,0.34858961704968694,-0.14585402734596986,0.001836885240850794,0.0,-0.05076204933967221,-0.320114294021252,0.27393180359307046,-0.320114294021252,0.014955133832620593,-0.320114294021252,0.14711033274956217,0.04119707989733954,205
V3_M150_S20_YBC70_RD30_RT25_RF60,150,20,0.7,-0.3,0.25,60,0.019371819390057166,-0.5012732699298676,0.03864522716874061,1.6863711054756398,2981,-0.40131407419225684,-0.5012732699298676,0.37683090693689225,-0.1447132102411245,0.0018368852408516823,0.0,-0.04581745502453827,-0.3168348176025999,0.2958782033345613,-0.3168348176025999,0.016018617453145367,-0.3168348176025999,0.1361646234676007,0.0380762054355987,171
V3_M150_S20_YBC80_RD20_RT0_RF40,150,20,0.8,-0.2,0.0,40,0.022249460341742244,-0.43296805178358233,0.05138822656795833,1.8209504746967824,6438,-0.3578546681193695,-0.4124947574188621,-0.15293495829162196,-0.36534208184737604,0.0018368852408512382,0.0,-0.06519225542571516,-0.16260444086279435,1.2208459124258777,-0.16260444086279435,0.05013743439764906,-0.16260444086279435,0.12054874489200233,0.04679538725348263,217
V3_M150_S20_YBC80_RD20_RT0_RF60,150,20,0.8,-0.2,0.0,60,0.020991630669751293,-0.4533172255592921,0.046306713017252574,1.7608990401881564,6564,-0.3274742539153004,-0.39877663403301455,-0.20237043154932166,-0.37430079742118183,0.0018368852408514602,0.0,-0.07072942291301554,-0.14747705322910176,1.1776830874924036,-0.14747705322910176,0.048874488049375,-0.14747705322910176,0.11485697606538237,0.04467404285467491,178
V3_M150_S20_YBC80_RD20_RT15_RF40,150,20,0.8,-0.2,0.15,40,0.013081055575920209,-0.6187216424170425,0.021142068870936743,1.4247190068475521,6987,-0.5196313895884459,-0.5442922568564945,-0.016975428722550978,-0.4786417048054795,0.0018368852408519043,0.0,-0.18932328448207403,-0.30370533577904435,0.8877177052879546,-0.30370533577904435,0.03972520610045871,-0.30370533577904435,0.24810274372446,0.06239097788514812,242
V3_M150_S20_YBC80_RD20_RT15_RF60,150,20,0.8,-0.2,0.15,60,0.014095357295832,-0.5660033622451197,0.024903310185157006,1.4640850095727391,6829,-0.46873771398679753,-0.49601132936451164,0.011752341712205183,-0.45195320143606454,0.0018368852408521263,0.0,-0.2558424227862577,-0.32042565650606025,0.7042367033573707,-0.32042565650606025,0.03322720078370245,-0.32042565650606025,0.2409515469935785,0.059671812606304726,208
V3_M150_S20_YBC80_RD20_RT25_RF40,150,20,0.8,-0.2,0.25,40,0.003147770589936316,-0.712101492669807,0.004420396000203162,1.0893707385074247,9383,-0.6006112504579562,-0.665941569338881,-0.11787333016923396,-0.5273817459057232,0.0018368852408514602,0.0,-0.19782652994760752,-0.3497770155864658,0.9585723264345976,-0.3497770155864658,0.04207683200674506,-0.3497770155864658,0.2450379451255108,0.07217338437555143,258
V3_M150_S20_YBC80_RD20_RT25_RF60,150,20,0.8,-0.2,0.25,60,0.006711178501719095,-0.6680178523569662,0.010046405912716338,1.199829795166902,7388,-0.5301662837462776,-0.5797388306150506,-0.135315016255674,-0.5200956569912006,0.0018368852408521263,0.0,-0.22325127609358286,-0.3333843964988593,0.8707176073798923,-0.3333843964988593,0.03914866650229398,-0.3333843964988593,0.24168126094570927,0.06807282875199679,219
V3_M150_S20_YBC80_RD25_RT0_RF40,150,20,0.8,-0.25,0.0,40,0.0028391283712367876,-0.4568146263509183,0.006215055752299426,1.0802785442069212,9379,-0.42721083545660543,-0.4568146263509183,0.06454085082142824,-0.05743453530099207,0.0018368852408512382,0.0,-0.08141806897774928,-0.2166694203459979,0.1753007315623334,-0.2166694203459979,0.00995275293411857,-0.2166694203459979,0.057063631056625805,0.018465357099975377,185
V3_M150_S20_YBC80_RD25_RT0_RF60,150,20,0.8,-0.25,0.0,60,0.004418814067016497,-0.4311160876840985,0.01024970812560907,1.1275969532140386,9379,-0.40011171753657193,-0.4311160876840985,0.04898423201723068,-0.06796001114632377,0.0018368852408519043,0.0,-0.07091846645122901,-0.18435812741673963,0.1887346889631789,-0.18435812741673963,0.010656782259599762,-0.18435812741673963,0.053415061295971976,0.01717711626880133,150
